cbo,wmc,dit,rfc,lcom,totalMethods,totalFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,uniqueWordsQty,defect
5,60,2,55,189,27,5,30,247,25,0,9,4,2,47,9,27,5,17,3,191,0
3,10,1,1,9,7,4,1,38,7,1,2,0,0,0,22,4,0,4,2,69,0
3,10,1,1,9,7,4,0,38,7,1,2,0,0,0,22,4,0,4,2,69,1
20,59,3,63,189,24,9,4,262,12,4,16,0,6,6,14,45,8,41,4,222,0
21,58,2,61,189,24,9,0,260,12,4,15,0,6,6,14,45,8,41,4,222,1
42,1656,28,796,199352,758,113,378,8719,455,98,443,76,218,279,726,943,390,603,22,2985,0
141,1655,16,682,199352,758,113,0,8717,455,98,442,76,218,279,726,943,390,603,22,2985,1
24,223,2,153,6,25,5,4,760,28,15,51,19,19,55,59,146,37,71,6,219,0
25,222,1,142,6,25,5,0,759,28,15,50,19,19,55,58,145,37,71,6,219,1
10,54,1,49,0,18,8,5,251,14,1,3,6,0,64,2,48,16,47,5,120,0
14,52,1,47,0,18,8,0,242,14,1,3,4,0,63,2,48,15,47,5,120,1
14,7,1,10,1,3,1,0,29,3,0,3,0,0,2,0,5,0,5,1,38,0
14,7,1,11,3,3,1,0,32,5,0,2,0,0,2,0,4,0,5,1,38,1
6,12,2,18,1,2,0,1,64,0,1,1,1,0,21,1,16,0,15,4,41,0
7,10,1,18,1,2,0,0,61,1,1,1,1,0,21,1,16,0,15,3,41,1
3,20,1,12,29,11,7,0,76,12,0,4,0,0,7,0,15,1,14,1,39,0
9,19,1,10,25,11,6,0,69,11,0,4,0,0,7,0,14,2,13,1,39,1
5,1,2,1,0,1,0,0,6,1,0,0,0,0,1,0,0,0,0,0,10,0
4,1,1,1,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,10,1
17,72,2,44,44,21,22,1,321,10,0,11,6,6,47,17,61,19,36,10,183,0
20,72,2,44,44,21,23,0,323,10,0,11,6,6,47,18,63,19,37,10,183,1
3,13,1,19,66,12,0,10,122,11,0,1,0,0,17,0,0,0,11,0,93,0
7,13,1,14,66,12,0,0,122,11,0,1,0,0,17,0,0,0,11,0,93,1
8,16,1,13,4,5,8,0,78,6,0,10,0,0,4,1,18,0,16,5,100,1
8,18,2,23,1,2,1,0,70,1,2,5,0,3,1,0,14,2,11,5,42,0
13,18,1,21,1,2,1,0,70,1,2,5,0,3,1,0,14,2,11,5,42,1
21,59,5,57,382,34,14,0,258,8,14,5,0,1,1,13,51,7,44,3,173,0
21,59,2,59,382,34,15,0,260,8,14,5,0,1,2,13,52,7,45,3,174,1
9,12,2,13,0,7,4,1,66,10,0,3,0,0,4,1,9,0,8,1,74,0
11,12,1,12,0,7,4,0,66,10,0,3,0,0,4,1,9,0,8,1,74,1
17,102,1,69,0,57,13,13,586,31,0,39,0,22,31,17,64,3,35,3,219,0
24,99,1,66,0,57,13,0,583,31,0,36,0,22,31,17,64,3,35,2,219,1
11,50,1,52,0,24,9,4,219,11,2,7,7,0,62,15,37,13,31,3,98,0
15,49,1,49,0,24,9,0,219,11,2,7,7,0,62,14,37,13,31,3,98,1
28,100,6,72,475,44,29,2,543,18,10,40,0,1,17,58,105,6,58,3,248,1
53,176,8,200,137,51,36,22,1058,58,3,42,11,6,49,23,138,13,111,11,437,0
66,176,7,190,137,51,36,0,1058,58,3,42,11,6,49,23,138,13,111,11,437,1
56,75,17,107,114,39,15,10,590,23,4,19,2,2,16,4,75,6,58,11,286,0
66,72,13,109,105,36,15,0,596,23,4,19,2,2,16,4,75,6,58,15,296,1
59,87,1,102,1330,57,6,3,584,67,0,12,3,0,28,1,62,0,72,3,252,0
67,87,1,101,1330,57,6,0,584,67,0,12,3,0,28,2,62,0,73,3,252,1
178,529,90,549,18275,251,24,17,2807,309,12,172,14,5,132,27,192,56,1050,21,845,0
168,529,28,511,18275,251,24,0,2807,309,12,172,14,5,132,27,192,56,1050,21,845,1
18,51,2,54,18,34,9,15,230,29,1,6,0,1,5,14,58,1,18,2,79,0
22,51,2,52,18,34,9,0,229,29,1,6,0,1,5,14,57,1,18,2,79,1
12,16,1,15,4,5,8,0,81,6,0,10,0,0,5,1,20,0,18,5,102,0
8,44,2,25,136,17,0,1,190,13,20,2,0,4,54,6,23,17,22,3,141,0
27,102,3,72,475,44,29,0,563,18,10,41,0,1,17,60,107,6,59,4,250,0
50,158,10,128,2,83,18,1,630,33,2,46,1,6,3,56,91,11,56,9,299,0
32,26,6,79,4,17,23,4,245,3,0,4,1,2,20,15,51,10,45,2,163,0
12,20,4,24,30,14,6,3,140,8,0,2,1,0,6,2,9,1,6,2,114,0
1,18,1,0,153,18,0,0,107,0,0,0,0,0,0,0,0,0,0,0,128,0
7,28,2,23,0,4,1,1,89,5,4,3,1,6,17,8,18,5,13,9,75,0
49,63,6,73,92,27,17,3,369,7,7,14,3,3,25,7,45,3,36,11,263,0
15,59,5,73,96,16,10,5,274,12,6,16,1,3,9,29,69,40,49,4,131,0
8,45,8,46,67,16,6,15,251,9,6,2,9,0,16,5,32,2,24,3,263,0
2,6,1,10,3,3,1,0,32,1,0,0,2,0,2,1,6,0,5,1,30,0
7,12,2,9,21,7,0,0,28,5,0,5,0,0,2,1,1,0,1,1,24,0
37,253,10,133,1880,88,69,12,1356,83,3,37,1,42,0,137,438,213,216,3,413,0
8,24,1,0,276,24,0,0,142,0,0,0,0,0,0,0,0,0,0,0,134,0
32,146,5,131,635,65,26,6,947,48,13,31,7,5,45,24,86,26,65,6,450,0
12,44,1,58,55,11,5,11,194,17,6,7,2,0,8,8,54,3,39,5,134,0
37,66,14,132,124,36,22,15,425,40,0,21,1,3,63,3,33,4,52,14,210,0
21,275,1,176,0,183,20,0,800,37,10,65,0,14,24,42,131,10,124,3,288,0
8,24,6,27,15,17,9,5,131,16,1,2,0,0,4,6,10,0,9,3,95,0
39,26,6,78,4,17,23,0,244,3,0,4,1,2,20,14,51,10,45,2,163,1
7,129,1,78,216,33,23,5,454,32,20,29,3,12,28,34,76,18,58,9,166,0
17,127,1,70,220,33,23,0,451,32,20,28,3,12,28,33,76,18,58,9,166,1
17,111,3,100,1001,67,14,8,649,27,4,25,6,3,15,13,50,6,30,4,366,0
36,111,2,90,1001,67,14,0,649,27,4,25,6,3,15,13,50,6,30,4,366,1
8,6,1,10,6,4,2,0,44,0,2,2,0,0,0,0,8,0,6,1,68,0
10,8,1,11,10,5,2,0,51,0,3,3,0,0,0,0,10,0,7,1,68,1
11,10,3,23,3,7,5,1,68,5,0,3,1,0,7,4,12,1,10,2,97,0
15,10,2,23,3,7,5,0,68,5,0,3,1,0,7,4,12,1,10,2,97,1
18,4,2,13,0,3,4,0,65,3,0,0,1,0,13,3,7,3,9,1,37,0
17,4,1,12,0,3,4,0,65,3,0,0,1,0,13,3,7,3,9,1,37,1
1,18,1,0,153,18,0,0,107,0,0,0,0,0,0,0,0,0,0,0,127,1
4,49,1,11,74,20,9,3,214,13,1,12,1,3,12,41,33,30,19,2,193,0
10,49,1,11,74,20,9,0,214,13,1,12,1,3,12,40,33,29,19,2,193,1
9,18,1,17,2,8,2,0,68,2,0,6,0,1,0,0,11,0,7,3,80,0
8,18,1,17,2,8,2,0,68,2,0,6,0,1,0,0,11,0,7,3,80,1
14,12,3,22,1,3,0,1,58,6,2,3,0,0,5,3,8,1,8,2,41,0
15,11,2,20,1,3,0,0,55,5,2,2,0,0,5,3,8,1,8,2,41,1
33,188,11,141,1001,54,30,3,802,7,2,60,0,8,13,51,74,13,60,7,316,0
34,188,8,137,1001,54,30,0,800,7,2,60,0,8,13,51,72,11,58,7,315,1
2,3,2,2,0,3,1,0,14,1,0,0,0,0,3,0,2,2,1,0,10,0
2,1,1,2,0,1,0,0,7,1,0,0,0,0,1,0,0,1,0,0,9,1
52,61,4,73,92,27,17,0,363,7,7,14,3,3,23,7,45,3,36,11,263,1
35,42,10,78,137,38,8,2,288,2,2,2,0,7,0,21,32,15,32,2,173,0
29,42,9,78,137,38,8,0,288,2,2,2,0,7,0,21,32,15,32,2,174,1
8,84,2,58,0,53,2,18,547,64,2,14,0,1,0,2,34,3,23,4,217,0
28,84,2,43,0,53,2,0,547,64,2,14,0,1,0,2,34,3,23,4,216,1
23,54,5,77,177,24,7,7,240,17,1,14,6,2,14,1,31,6,23,7,136,0
30,52,4,68,181,24,7,0,238,17,1,13,6,2,12,1,29,6,21,7,136,1
15,52,3,34,49,19,9,1,349,24,1,6,13,0,72,5,52,5,33,5,206,0
16,52,2,34,49,19,9,0,349,24,1,6,13,0,72,5,52,5,33,5,206,1
36,156,10,128,1194,68,64,5,706,23,6,41,0,4,2,82,175,59,124,5,316,0
37,156,9,128,1194,68,64,0,706,23,6,41,0,4,2,82,175,59,124,5,316,1
27,45,4,45,67,16,6,0,251,9,6,2,9,0,16,5,32,2,24,3,263,1
7,11,1,15,32,9,2,8,47,7,0,0,1,1,2,0,4,3,3,1,84,0
11,11,1,15,32,9,2,0,47,7,0,0,1,1,2,0,4,3,3,1,85,1
14,59,7,51,0,12,14,1,378,9,2,22,4,1,41,14,56,9,42,19,273,0
34,59,5,48,0,12,14,0,378,9,2,22,4,1,41,14,56,9,42,19,273,1
8,23,1,10,0,4,16,11,78,3,0,8,1,2,15,2,30,0,22,2,71,0
5,23,1,7,0,4,16,0,76,3,0,8,1,3,16,2,28,1,20,2,65,1
10,5,2,19,1,2,2,0,30,2,0,2,1,0,5,1,6,1,6,2,51,0
8,5,1,20,1,2,2,0,30,2,0,2,1,0,5,1,6,1,6,2,51,1
